Publisher_ID,Publishers
1,10 Chambers
2,1047 Games
3,11 bit studios
4,1939 Games
5,1-reality
6,2K
7,2K Games
8,"2K,Aspyr (Mac)"
9,"2K,Aspyr (Mac),Aspyr (Linux)"
10,"2K,Feral Interactive (Linux)"
11,"2K,Feral Interactive (Mac),Feral Interactive (Linux)"
12,3Division
13,4G
14,505 Games
15,663 Games
16,"7th Beat Games,indienova"
17,8Floor
18,91Act
19,Activision
20,"Activision (Excluding Japan and Asia),FromSoftware (Japan),æ¹åæ¸¸æ (Asia)"
21,"Activision,Aspyr (Mac)"
22,Acureus
23,Aerosoft GmbH
24,Afterthought LLC
25,Alawar
26,Alawar Premium
27,Alliance Arts
28,AlphaSoft LLC
29,Altered Orbit Studios
30,Amazon Games
31,Amistech Games
32,"Amplifier Studios,FRAME BREAK"
33,Anegar Games
34,Aniplex Inc.
35,AniYa Games Studio
36,Annapurna Interactive
37,AnukenDev
38,Arc Games
39,Arc System Works
40,Asmodee Digital
41,Aspyr
42,astragon Entertainment
43,Atelier 801
44,AutoAttack Games
45,Awaken Realms
46,Axolot Games
47,"Azerion,Youda Games Holding B.V."
48,Bad Pixel
49,BANDAI NAMCO Entertainment
50,Bandai Namco Entertainment
51,Bandai Namco Entertainment Europe
52,Bandai Namco Entertainment Inc.
53,"Bandai Namco Entertainment,FromSoftware, Inc"
54,BD Games
55,Beamdog
56,BeamNG
57,Bear in the Night
58,Beat Games
59,Beautiful Glitch
60,Behaviour Interactive Inc.
61,Berserk Games
62,BetaDwarf
63,Bethesda Softworks
64,Bigmode
65,bilibili
66,BINGOBELL
67,"BlackMark Studio,Valkyrie Initiative"
68,BlackMill Games
69,Blender Foundation
70,"Blizzard Entertainment, Inc."
71,Blobfish
72,Bohemia Interactive
73,Bone Nail
74,Boneloaf
75,Boxelware
76,Brace Yourself Games
77,Bungie
78,Bushiroad Inc.
79,Capcom
80,"CAPCOM Co., Ltd."
81,"CarX Technologies, LLC"
82,Cassel Games
83,CCP
84,CD PROJEKT RED
85,"CD PROJEKT RED,1C-SoftClub"
86,Cellar Door Games
87,CenterPoint Gaming
88,Chucklefish
89,CI Games
90,Clouded Leopard Entertainment
91,"Codemasters,Electronic Arts"
92,Codename Entertainment Inc.
93,Coffee Stain Publishing
94,Computer Lunch
95,ConcernedApe
96,Crate Entertainment
97,Creaky Corpse Ltd
98,"CreativeForge Games,PlayWay S.A."
99,Creepy Jar
100,"Critical Bliss,Mango Party"
101,CRITICAL REFLEX
102,Crowbar Collective
103,Crytek
104,Crytivo
105,"CULT Games,Prideful Sloth"
106,Curtis English
107,Curve Games
108,"Cygames, Inc."
109,"Cygames, Inc.,Cygames Korea Inc."
110,D3PUBLISHER
111,Daedalic Entertainment
112,Daybreak Game Company
113,DDNet Team
114,Deca Games
115,Deck13
116,Deep Silver
117,Degica
118,DenchiSoft
119,Devolver Digital
120,Die of Death Games
121,"Different Tales,IndieArk"
122,Digital Confectioners
123,Digital Extremes
124,Digitalmindsoft
125,Dorado Games
126,Dotemu
127,Double Dagger Studio
128,Dovetail Games - Trains
129,Dovetail Games - TSW
130,Dragonrise Games
131,Drakeling Labs
132,DreadXP
133,Dry Cactus
134,DSGame
135,Duoyi Games
136,Egosoft
137,Electronic Arts
138,Eleon Game Studios
139,Eleventh Hour Games
140,EmadePlus
141,Ember Lab
142,Endnight Games Ltd
143,Envision Entertainment
144,"Epopeia Games,HAMMER95"
145,"ETime Studio,Merlion Games"
146,Eugen Systems
147,Euphoric Brothers
148,EVGA
149,"EXOR Studios,Surefire.Games"
150,Expansive Worlds
151,"Expansive Worlds,Avalanche Studios"
152,Facepunch Studios
153,Faerin Games
154,Fancy Games
155,Far From Home
156,Fatshark
157,Fire Hose Games
158,Fire Sword Studios
159,FireFly Studios
160,Fireshine Games
161,Firesquid
162,Fishing Planet LLC
163,"FishSoft, LLC"
164,"flanne,Erabit"
165,Flashbulb
166,Focus Entertainment
167,"Focus Entertainment,4Divinity"
168,Freedom Games
169,Frictional Games
170,"FromSoftware Inc.,Bandai Namco Entertainment"
171,"FromSoftware Inc.,Bandai Namco Entertainment Inc."
172,"FromSoftware, Inc,Bandai Namco Entertainment"
173,"FromSoftware, Inc.,Bandai Namco Entertainment"
174,Frontier Developments
175,"Frontier Developments,Aspyr (Mac)"
176,Frontier Foundry
177,Frozen District
178,"Frozen District,PlayWay S.A."
179,Fulqrum Publishing
180,Funcom
181,"Future Friends Games,Quite OK Games"
182,Gaddy Games
183,Gaijin Distribution KFT
184,Gaijin Network Ltd
185,Game Science
186,Game Smithing Limited
187,Game-Labs
188,Gameloft
189,Gamepires
190,Gamera Games
191,"Games Incubator,PlayWay S.A."
192,Games Of Tomorrow GmbH
193,Games Operators
194,gamigo US Inc.
195,"G-DEVS.com,CreativeForge Games"
196,Gearbox Publishing
197,Geometa
198,Ghost Ship Publishing
199,Giants Software
200,GIANTS Software
201,Giraffe Lab LLC
202,Gleamer Studio
203,Glyph Worlds
204,Good Shepherd Entertainment
205,Grapeshot Games
206,Grinding Gear Games
207,GrizzlyGames
208,GSC Game World
209,Gun Interactive
210,hasuhasu
211,Hello Games
212,"Hide Games,PlayMeow,Ramen Cat Studio"
213,Hinterland Studio Inc.
214,Hi-Rez Studios
215,Holotech Studios Inc.
216,Holyday Studios
217,Hooded Horse
218,"Hotloop,Surefire.Games"
219,Hovgaard Games
220,Humble Games
221,Humble North
222,Hunter Studio
223,Hyper Hippo Games
224,HypeTrain Digital
225,Igara Studio
226,IGG SINGAPORE PTE. LTD.
227,IllFonic Publishing
228,Illwinter Game Design
229,"IMCGAMES Co.,Ltd."
230,Inceton games
231,IndieArk
232,INDIECN
233,Infini-Brain inc.
234,Inflexion Games
235,Innersloth
236,intiny
237,inXile Entertainment
238,IO Interactive A/S
239,iolaCorp Studio
240,Ironhide Game Studio
241,Ishtar Games
242,Ivy Sly
243,Jagex Ltd
244,James Bendon
245,"Jaspel,IndieArk"
246,Jordy Lakiere
247,"Kabam Games, Inc."
248,Kagura Games
249,"Kakao Games Europe B.V. (EU,NA,OCE),Nimble Neuron (Excluding EU,NA,OCE)"
250,Kalypso Media
251,Kasedo Games
252,kChamp Games
253,Keen Games GmbH
254,Keen Software House
255,Kepler Interactive
256,Kiki Games
257,Kinetic Games
258,Kitfox Games
259,Kitka Games
260,KLab Inc.
261,Klei Entertainment
262,"KOEI TECMO GAMES CO., LTD."
263,"KOEI TECMO GAMES CO., LTD.,CE-Asia(Asia)"
264,Konami Digital Entertainment
265,Kongregate
266,KOTAKE CREATE
267,"KRAFTON, Inc."
268,Kunos Simulazioni
269,Laminar Research
270,Landfall
271,Landfall Publishing
272,Larian Studios
273,Lavaflame2
274,League of Geeks
275,Leppsoft
276,Lightning Games
277,"Lion Games Co., Ltd."
278,Lo-Fi Games
279,"LucasArts,Lucasfilm,Disney"
280,Ludeon Studios
281,Lukas Rustemeyer
282,"MADFINGER Games, a.s."
283,MaFi Games
284,"Mainframe Industries,New Tales"
285,Majic Jungle
286,Mango Party
287,"Marvelous,Marvelous Europe,XSEED Games"
288,Maticolotto
289,Matt Makes Games Inc.
290,Maxim Karpenko
291,Mechanistry
292,Mega Cat Studios
293,Mega Crit Games
294,Melancholia Studio
295,Merge Games
296,Meta Interaction
297,"META Publishing,Owlcat Games"
298,MicroProse Software
299,Miju Games
300,Milestone S.r.l.
301,Milkstone Studios
302,Mimimi Games
303,MINTROCKET
304,Misc Games
305,MOB Games
306,Mobile Technologies LLC
307,Modern Wolf
308,Modus Games
309,Monomi Park
310,Mooncube Games
311,Motion Twin
312,Mountain&Sea Studio
313,MOVE ON USA CO.
314,Movie Games S.A.
315,MY.GAMES
316,MyDockFinder
317,Mytona Fntastic
318,Nacon
319,Narko Games
320,NCSOFT
321,"NEOPLE Inc.,NEXON Korea Corporation."
322,NEOWIZ
323,NetEase Games
324,NetEase Games MontrÃ©al
325,New Blood Interactive
326,Newnight
327,Nexon America Inc.
328,Nexon Korea Corporation
329,"Nicalis, Inc."
330,NIJICO
331,Ninja Kiwi
332,NLT Media
333,Noisestorm Limited
334,Nokta Games
335,Nolla Games
336,Northwood Studios
337,NPC Studio
338,NTTGame
339,Null Games
340,Numantian Games
341,"Ocean Drive Studio, Inc."
342,Offworld Industries
343,Omeda Studios
344,OMEGAMES STUDIO
345,"OMOCAT, LLC"
346,Oppai-Man
347,Out of the Park Developments
348,Overhype Studios
349,Overseer Games
350,OVRAS Team
351,Owlcat Games
352,Pablo Leban
353,Panic Art Studios
354,Paradox Arc
355,Paradox Interactive
356,"Pathea Games,PM Studios, inc."
357,"Pathea Games,PM Studios, Inc.,DMM GAMES"
358,Pearl Abyss
359,Perfect World Entertainment
360,Perfuse Entertainment
361,Phoenixx Inc.
362,PiBoSo
363,Pine Studio
364,Piranha Games Inc.
365,Pixel Puzzles
366,Pixonic
367,Playa Games GmbH
368,PLAYISM
369,Playsaurus
370,Playstack
371,PlayStation PC LLC
372,PlayWay S.A.
373,"PlayWithFurcifer,IndieArk"
374,Pocketpair
375,Polymorph Games
376,poncle
377,Pontypants
378,"PopCap Games, Inc.,Electronic Arts"
379,PQube
380,"PQube,Gamera Games"
381,Preferred Networks
382,"President Studio,PlayWay S.A."
383,Prime Matter
384,Private Division
385,Psyonix LLC
386,Quantic Dream
387,"Ravenage Games,2P Games"
388,Raw Fury
389,"RAYKA STUDIO,NPC Entertainment"
390,Realm Archive
391,Rebellion
392,Rebuilt Games
393,Rec Room
394,Red Barrels
395,Red Hook Studios
396,"Red Nexus Games Inc.,IndieArk"
397,RedCandleGames
398,Re-Logic
399,Renderise
400,Riot Forge
401,RobTop Games
402,RocketWerkz
403,Rockstar Games
404,RubberBandGames
405,Rusty Lake
406,SA Industry
407,Saber Interactive Inc
408,Sabotage Studio
409,Sad Panda Studios
410,Samar Studio
411,Samurai Games
412,Sandbox Interactive GmbH
413,"Sastrei Studios, LLC"
414,ScottGames
415,SCS Software
416,SEGA
417,SEGA Europe
418,"SEGA,Feral Interactive"
419,"SEGA,Feral Interactive (Linux),Feral Interactive (Mac)"
420,"SEGA,Feral Interactive (Mac)"
421,"SEGA,Feral Interactive (Mac),Feral Interactive (Linux)"
422,SgtOkiDoki
423,ShareX Team
424,Shining Rock Software LLC
425,Shiny Shoe
426,Shiro Unlimited
427,Shugasu GmbH
428,Siege Camp
429,"Single-player,Steam Trading Cards"
430,"Skystone Games,Huya Games"
431,Skywall Studios LLC
432,Slitherine Ltd.
433,"Sloclap,Kepler Interactive"
434,Smartly Dressed Games
435,SMG Studio
436,SNK CORPORATION
437,SOFTSTAR ENTERTAINMENT
438,Sokpop Collective
439,SomethingExtra
440,"SoulGame Studio,IndieArk"
441,Source Technology
442,Soviet Games
443,"Spike Chunsoft Co., Ltd."
444,Spiral Up Games
445,"Squanch Games, Inc."
446,Square Enix
447,"Square Enix,Feral Interactive (Mac)"
448,"Square Enix,Feral Interactive (Mac),Feral interactive (Linux)"
449,"Square Enix,Feral Interactive (Mac),Feral Interactive (Linux)"
450,"Standing Stone Games, LLC"
451,Star Vault AB
452,Starbreeze Publishing AB
453,Stardock Entertainment
454,Statespace
455,Steel City Interactive
456,SteelRaven7
457,Straight Back Games
458,Strange Loop Games
459,"Stray Fawn Studio,WhisperGames"
460,Stress Level Zero
461,Studio 397
462,Studio GPBeta
463,Studio MDHR Entertainment Inc.
464,Studio Minus
465,Studio Wildcard
466,"Studio Wildcard,Snail Games USA"
467,Stunlock Studios
468,Subset Games
469,Supergiant Games
470,System Era Softworks
471,Tactical Adventures
472,TaleWorlds Entertainment
473,Tann
474,Team Cherry
475,Team Reptile
476,Team17
477,Team17 Digital Ltd
478,"Team17,Yooreka Studio (China)"
479,Techland
480,Terad Games
481,The Fox Knocks
482,The Fun Pimps Entertainment LLC
483,The Indie Stone
484,The Irregular Corporation
485,The Meta
486,Thermite Games
487,THQ Nordic
488,Thunder Lotus Games
489,Thunderful Publishing
490,tinyBuild
491,TLM Partners
492,tobyfox
493,Toplitz Productions
494,Toukana Interactive
495,Tour De Pizza
496,Travis Miller
497,Tripwire Interactive
498,Tripwire Presents
499,Triternion
500,Tuxedo Labs
501,"Twin Sails Interactive,CE-Asia"
502,Two Star Games
503,TwoWizards
504,Ubisoft
505,Ubisoft Entertainment
506,Unexpected
507,Unknown Worlds Entertainment
508,USM
509,VALOFE
510,Valve
511,Vankrupt Games
512,Vector3 Studio
513,"Versus Evil,Obsidian Entertainment"
514,Victura
515,VOID Interactive
516,VRChat Inc.
517,WAKUWAKU
518,Wallpaper Engine Team
519,Walternate Realities
520,Wargaming Group Limited
521,"Warhorse Studios,Prime Matter"
522,Warner Bros. Games
523,"Warner Bros. Games,Warner Bros. Interactive Entertainment"
524,Warner Bros. Interactive Entertainment
525,WarpFrog
526,Watashi Games
527,WB Games
528,WhisperGames
529,World Makers
530,Wube Software LTD.
531,Xbox Game Studios
532,XD
533,Xiexe
534,Xinyuan Studio
535,"XSEED Games,Marvelous USA, Inc."
536,"XSEED Games,Marvelous USA, Inc.,Marvelous"
537,YAGER
538,Yogscast Games
539,Yooreka Studio
540,ZA/UM
541,Zeekerss
542,ZTEK Studio
543,Epic Games
544,Eagle Dynamics SA
